Date,Open,High,Low,Close,Adj Close,Volume
2013-01-02,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-01-03,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-01-04,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-01-07,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-01-08,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-01-09,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-01-10,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-01-11,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-01-14,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-01-15,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-01-16,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-01-17,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-01-18,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-01-22,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-01-23,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-01-24,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-01-25,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-01-28,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-01-29,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-01-30,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-01-31,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-02-01,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-02-04,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-02-05,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-02-06,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-02-07,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-02-08,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-02-11,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-02-12,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-02-13,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-02-14,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-02-15,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-02-19,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-02-20,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-02-21,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-02-22,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-02-25,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-02-26,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-02-27,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-02-28,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-03-01,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-03-04,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-03-05,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-03-06,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-03-07,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-03-08,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-03-11,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-03-12,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-03-13,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-03-14,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-03-15,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-03-18,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-03-19,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-03-20,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-03-21,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-03-22,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-03-25,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-03-26,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-03-27,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-03-28,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-04-01,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-04-02,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-04-03,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-04-04,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-04-05,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-04-08,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-04-09,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-04-10,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-04-11,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-04-12,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-04-15,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-04-16,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-04-17,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-04-18,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-04-19,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-04-22,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-04-23,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-04-24,0.091818,0.091818,0.091818,0.091818,0.091818,0
2013-04-25,0.091818,0.091818,0.091818,0.091818,0.091818,0
