Date,Open,High,Low,Close,Adj Close,Volume
2013-04-03,15.840000,15.840000,15.840000,15.840000,11.767860,0
2013-04-04,null,null,null,null,null,null
2013-04-05,null,null,null,null,null,null
2013-04-08,null,null,null,null,null,null
2013-04-09,null,null,null,null,null,null
2013-04-10,null,null,null,null,null,null
2013-04-11,null,null,null,null,null,null
2013-04-12,null,null,null,null,null,null
2013-04-15,null,null,null,null,null,null
2013-04-16,null,null,null,null,null,null
2013-04-17,null,null,null,null,null,null
2013-04-18,null,null,null,null,null,null
2013-04-19,null,null,null,null,null,null
2013-04-22,null,null,null,null,null,null
2013-04-23,null,null,null,null,null,null
2013-04-24,null,null,null,null,null,null
2013-04-25,null,null,null,null,null,null
2013-04-26,null,null,null,null,null,null
2013-04-29,null,null,null,null,null,null
2013-04-30,null,null,null,null,null,null
2013-05-01,null,null,null,null,null,null
2013-05-02,null,null,null,null,null,null
2013-05-03,null,null,null,null,null,null
2013-05-06,null,null,null,null,null,null
2013-05-07,null,null,null,null,null,null
2013-05-08,null,null,null,null,null,null
2013-05-09,null,null,null,null,null,null
2013-05-10,null,null,null,null,null,null
2013-05-13,null,null,null,null,null,null
2013-05-14,null,null,null,null,null,null
2013-05-15,null,null,null,null,null,null
2013-05-16,null,null,null,null,null,null
2013-05-17,null,null,null,null,null,null
2013-05-20,null,null,null,null,null,null
2013-05-21,null,null,null,null,null,null
2013-05-22,null,null,null,null,null,null
2013-05-23,null,null,null,null,null,null
2013-05-24,null,null,null,null,null,null
2013-05-28,null,null,null,null,null,null
2013-05-29,null,null,null,null,null,null
2013-05-30,null,null,null,null,null,null
2013-05-31,null,null,null,null,null,null
2013-06-03,null,null,null,null,null,null
2013-06-04,null,null,null,null,null,null
2013-06-05,null,null,null,null,null,null
2013-06-06,null,null,null,null,null,null
2013-06-07,null,null,null,null,null,null
2013-06-10,null,null,null,null,null,null
2013-06-11,null,null,null,null,null,null
2013-06-12,null,null,null,null,null,null
2013-06-13,null,null,null,null,null,null
2013-06-14,null,null,null,null,null,null
2013-06-17,null,null,null,null,null,null
2013-06-18,null,null,null,null,null,null
2013-06-19,null,null,null,null,null,null
