Date,Open,High,Low,Close,Adj Close,Volume
2011-03-11,0.300000,0.300000,0.300000,0.300000,0.300000,4000
2011-03-14,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-03-15,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-03-16,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-03-17,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-03-18,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-03-21,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-03-22,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-03-23,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-03-24,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-03-25,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-03-28,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-03-29,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-03-30,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-03-31,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-04-01,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-04-04,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-04-05,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-04-06,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-04-07,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-04-08,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-04-11,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-04-12,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-04-13,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-04-14,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-04-15,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-04-18,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-04-19,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-04-20,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-04-21,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-04-25,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-04-26,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-04-27,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-04-28,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-04-29,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-05-02,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-05-03,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-05-04,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-05-05,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-05-06,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-05-09,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-05-10,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-05-11,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-05-12,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-05-13,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-05-16,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-05-17,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-05-18,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-05-19,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-05-20,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-05-23,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-05-24,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-05-25,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-05-26,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-05-27,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-05-31,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-06-01,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-06-02,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-06-03,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-06-06,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-06-07,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-06-08,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-06-09,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-06-10,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-06-13,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-06-14,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-06-15,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-06-16,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-06-17,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-06-20,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-06-21,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-06-22,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-06-23,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-06-24,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-06-27,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-06-28,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-06-29,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-06-30,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-07-01,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-07-05,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-07-06,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-07-07,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-07-08,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-07-11,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-07-12,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-07-13,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-07-14,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-07-15,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-07-18,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-07-19,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-07-20,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-07-21,0.300000,0.300000,0.300000,0.300000,0.300000,0
2011-07-22,0.300000,0.300000,0.300000,0.300000,0.300000,0
