Date,Open,High,Low,Close,Adj Close,Volume
2010-01-19,5.329359,5.329359,5.284948,5.284948,4.373505,361
2010-01-20,5.284948,5.284948,5.284948,5.284948,4.373505,0
2010-01-21,5.284948,5.284948,5.284948,5.284948,4.373505,0
2010-01-22,5.284948,5.284948,5.284948,5.284948,4.373505,0
2010-01-25,5.284948,5.284948,5.284948,5.284948,4.373505,0
2010-01-26,5.284948,5.284948,5.284948,5.284948,4.373505,0
2010-01-27,5.284948,5.284948,5.284948,5.284948,4.373505,0
2010-01-28,5.284948,5.284948,5.284948,5.284948,4.373505,0
2010-01-29,5.284948,5.284948,5.284948,5.284948,4.373505,0
2010-02-01,5.284948,5.284948,5.284948,5.284948,4.373505,0
2010-02-02,5.284948,5.284948,5.284948,5.284948,4.373505,0
2010-02-03,5.284948,5.284948,5.284948,5.284948,4.373505,0
2010-02-04,5.284948,5.284948,5.284948,5.284948,4.373505,0
2010-02-05,5.284948,5.284948,5.284948,5.284948,4.373505,0
2010-02-08,5.284948,5.284948,5.284948,5.284948,4.373505,0
2010-02-09,5.284948,5.284948,5.284948,5.284948,4.373505,0
2010-02-10,5.284948,5.284948,5.284948,5.284948,4.373505,0
2010-02-11,5.284948,5.284948,5.284948,5.284948,4.373505,0
2010-02-12,5.284948,5.284948,5.284948,5.284948,4.373505,0
2010-02-16,5.284948,5.284948,5.284948,5.284948,4.373505,0
2010-02-17,5.284948,5.284948,5.284948,5.284948,4.373505,0
2010-02-18,5.284948,5.284948,5.284948,5.284948,4.373505,0
2010-02-19,5.284948,5.284948,5.284948,5.284948,4.373505,0
2010-02-22,5.284948,5.284948,5.284948,5.284948,4.373505,0
2010-02-23,5.284948,5.284948,5.284948,5.284948,4.373505,0
2010-02-24,5.284948,5.284948,5.284948,5.284948,4.373505,0
2010-02-25,5.284948,5.284948,5.284948,5.284948,4.373505,0
2010-02-26,5.284948,5.284948,5.284948,5.284948,4.373505,0
2010-03-01,5.284948,5.284948,5.284948,5.284948,4.373505,0
2010-03-02,5.284948,5.284948,5.284948,5.284948,4.373505,0
2010-03-03,5.284948,5.284948,5.284948,5.284948,4.373505,0
2010-03-04,5.284948,5.284948,5.284948,5.284948,4.373505,0
2010-03-05,5.284948,5.284948,5.284948,5.284948,4.373505,0
2010-03-08,5.284948,5.284948,5.284948,5.284948,4.373505,0
2010-03-09,5.284948,5.284948,5.284948,5.284948,4.373505,0
2010-03-10,5.284948,5.284948,5.284948,5.284948,4.373505,0
2010-03-11,5.284948,5.284948,5.284948,5.284948,4.373505,0
2010-03-12,5.284948,5.284948,5.284948,5.284948,4.373505,0
2010-03-15,5.284948,5.284948,5.284948,5.284948,4.373505,0
2010-03-16,5.284948,5.284948,5.284948,5.284948,4.373505,0
2010-03-17,5.284948,5.284948,5.284948,5.284948,4.373505,0
2010-03-18,5.284948,5.284948,5.284948,5.284948,4.373505,0
2010-03-19,5.284948,5.284948,5.284948,5.284948,4.373505,0
2010-03-22,5.284948,5.284948,5.284948,5.284948,4.373505,0
2010-03-23,5.284948,5.284948,5.284948,5.284948,4.373505,0
2010-03-24,5.284948,5.284948,5.284948,5.284948,4.373505,0
2010-03-25,5.284948,5.284948,5.284948,5.284948,4.373505,0
2010-03-26,5.284948,5.284948,5.284948,5.284948,4.373505,0
2010-03-29,5.284948,5.284948,5.284948,5.284948,4.373505,0
2010-03-30,5.284948,5.284948,5.284948,5.284948,4.373505,0
2010-03-31,5.284948,5.284948,5.284948,5.284948,4.373505,0
2010-04-01,5.284948,5.284948,5.284948,5.284948,4.373505,0
2010-04-05,5.284948,5.284948,5.284948,5.284948,4.373505,0
2010-04-06,5.284948,5.284948,5.284948,5.284948,4.373505,0
2010-04-07,5.284948,5.284948,5.284948,5.284948,4.373505,0
2010-04-08,5.284948,5.284948,5.284948,5.284948,4.373505,0
2010-04-09,5.284948,5.284948,5.284948,5.284948,4.373505,0
