Date,Open,High,Low,Close,Adj Close,Volume
2014-03-12,12.850000,14.490000,12.810000,14.300000,14.300000,3362057
2014-03-13,14.470000,16.850000,14.470000,16.340000,16.340000,564611
2014-03-14,16.850000,16.999901,15.750200,16.160000,16.160000,206356
2014-03-17,15.930000,16.440001,15.760000,16.025000,16.025000,150299
2014-03-18,16.530001,17.299999,15.920000,17.070000,17.070000,286715
2014-03-19,17.160000,19.030001,17.100000,18.200001,18.200001,266362
2014-03-20,18.799999,18.799999,18.160000,18.650000,18.650000,106899
2014-03-21,18.600000,18.799999,18.209999,18.799999,18.799999,104734
2014-03-24,18.379999,19.690001,18.250000,18.950001,18.950001,240443
2014-03-25,18.730000,19.549999,18.280001,18.780001,18.780001,150820
2014-03-26,18.730000,18.860001,17.379999,18.650000,18.650000,360325
2014-03-27,18.750000,18.750000,17.000000,18.030001,18.030001,134608
2014-03-28,17.950001,18.029900,15.500000,16.660000,16.660000,74540
2014-03-31,16.750000,16.979700,15.000000,15.460000,15.460000,121231
2014-04-01,15.550000,15.870000,14.280000,15.460000,15.460000,282096
2014-04-02,15.370000,16.450001,15.290100,15.950000,15.950000,169026
2014-04-03,15.870000,15.950000,14.650000,15.130000,15.130000,53574
2014-04-04,15.150000,15.190000,13.800000,14.150000,14.150000,71960
2014-04-07,14.210000,14.350000,12.250000,12.890000,12.890000,242960
2014-04-08,13.290000,13.750000,12.400000,12.520000,12.520000,114804
2014-04-09,12.460000,13.180000,12.177000,12.750000,12.750000,101186
2014-04-10,12.700000,12.940000,12.580000,12.590000,12.590000,66648
2014-04-11,12.450000,13.800000,12.140100,13.310000,13.310000,120644
2014-04-14,13.500000,13.500000,12.610000,13.300000,13.300000,54044
2014-04-15,13.420000,13.500000,12.570000,13.140000,13.140000,46159
2014-04-16,13.250000,13.490000,12.710000,13.050000,13.050000,64625
2014-04-17,12.950000,13.950000,12.700000,13.740000,13.740000,26705
2014-04-21,13.660000,14.900000,13.060000,14.250000,14.250000,34261
2014-04-22,17.440001,17.440001,13.000000,13.930000,13.930000,241263
2014-04-23,13.900000,14.729900,12.720000,13.250000,13.250000,113339
2014-04-24,13.805000,13.990000,13.360000,13.970000,13.970000,68296
2014-04-25,13.750000,13.750000,12.910000,13.380000,13.380000,77193
2014-04-28,13.510000,14.440000,13.500000,14.180000,14.180000,101307
2014-04-29,14.330000,14.750000,14.010000,14.210000,14.210000,99983
2014-04-30,14.200000,14.935000,14.000000,14.020000,14.020000,101423
2014-05-01,14.020000,14.660000,14.020000,14.200000,14.200000,48428
2014-05-02,14.310000,14.490000,13.370000,13.760000,13.760000,68473
2014-05-05,13.780000,14.400000,13.580000,14.340000,14.340000,118274
2014-05-06,14.310000,14.310000,12.290000,13.010000,13.010000,124789
2014-05-07,13.100000,13.430000,12.410000,12.540000,12.540000,36943
2014-05-08,12.610000,13.430000,12.370000,12.620000,12.620000,74807
2014-05-09,12.530000,13.000000,11.660000,12.530000,12.530000,123847
2014-05-12,13.250000,13.840000,12.710000,13.440000,13.440000,81336
2014-05-13,13.390000,13.720000,13.020000,13.330000,13.330000,82431
2014-05-14,13.330000,13.860000,12.940000,13.110000,13.110000,95222
2014-05-15,13.160000,13.480000,12.510000,12.920000,12.920000,75783
2014-05-16,13.020000,13.900000,12.800000,13.300000,13.300000,116672
2014-05-19,13.360000,13.900000,12.882000,13.020000,13.020000,45028
2014-05-20,13.050000,13.230000,11.710000,12.450000,12.450000,72065
2014-05-21,12.550000,12.910000,12.050000,12.460000,12.460000,44221
2014-05-22,12.540000,12.919500,12.165000,12.720000,12.720000,44188
2014-05-23,12.670000,13.500000,12.480000,13.480000,13.480000,54881
2014-05-27,13.570000,13.570000,12.867500,13.130000,13.130000,56227
2014-05-28,13.080000,14.422500,13.020000,13.940000,13.940000,117176
2014-05-29,14.260000,14.553800,14.020000,14.160000,14.160000,60866
2014-05-30,14.230000,14.330000,13.800000,14.030000,14.030000,72270
2014-06-02,14.130000,14.130000,13.390000,13.700000,13.700000,59196
2014-06-03,13.590000,14.245000,13.590000,14.050000,14.050000,90544
2014-06-04,14.040000,14.430000,13.660000,13.900000,13.900000,137610
2014-06-05,13.850000,14.320000,13.850000,14.270000,14.270000,76135
2014-06-06,14.240000,14.430000,12.980000,13.980000,13.980000,97470
2014-06-09,14.110000,15.420000,14.020000,14.970000,14.970000,45084
2014-06-10,14.870000,15.280000,14.280000,14.980000,14.980000,63813
2014-06-11,14.990000,16.400000,14.500000,16.160000,16.160000,129788
2014-06-12,16.209999,16.750000,15.475000,16.209999,16.209999,125483
2014-06-13,16.200001,16.414000,14.700000,16.180000,16.180000,72653
2014-06-16,16.250000,16.670000,15.000000,15.480000,15.480000,82499
2014-06-17,15.540000,16.389999,14.320000,15.160000,15.160000,88661
2014-06-18,15.230000,16.080000,14.610000,15.140000,15.140000,66368
2014-06-19,15.110000,16.090000,14.890000,15.400000,15.400000,49710
2014-06-20,15.010000,17.309999,14.782000,15.600000,15.600000,301063
2014-06-23,15.600000,16.040001,15.290000,15.870000,15.870000,111712
2014-06-24,15.810000,16.520000,14.880000,15.350000,15.350000,78885
2014-06-25,15.310000,15.830000,14.890000,15.490000,15.490000,37876
2014-06-26,15.450000,15.490000,14.320000,14.890000,14.890000,110658
2014-06-27,14.760000,15.270000,14.010000,14.140000,14.140000,944123
2014-06-30,14.250000,14.859900,13.670000,13.960000,13.960000,143823
2014-07-01,14.010000,14.300000,13.620000,14.010000,14.010000,48589
2014-07-02,13.980000,14.440000,13.840000,13.920000,13.920000,124489
2014-07-03,13.990000,14.080000,13.730000,13.790000,13.790000,20763
2014-07-07,13.810000,14.181500,13.220000,13.300000,13.300000,86256
2014-07-08,13.310000,13.510000,12.520000,12.670000,12.670000,86284
2014-07-09,12.670000,12.900000,12.360000,12.640000,12.640000,76264
2014-07-10,12.550000,12.590000,12.230000,12.250000,12.250000,164729
2014-07-11,12.290000,12.590000,12.120000,12.330000,12.330000,103290
2014-07-14,12.480000,12.910000,12.480000,12.670000,12.670000,130452
2014-07-15,12.650000,12.650000,11.860000,12.200000,12.200000,105589
2014-07-16,12.230000,12.375000,11.670000,11.750000,11.750000,113254
2014-07-17,11.640000,11.740000,10.890000,11.050000,11.050000,116891
2014-07-18,10.970000,11.720000,10.920000,11.540000,11.540000,71291
2014-07-21,11.480000,11.650000,10.780000,11.020000,11.020000,86966
2014-07-22,11.040000,11.340000,11.010000,11.170000,11.170000,83372
2014-07-23,11.230000,11.640000,10.870000,11.440000,11.440000,113676
2014-07-24,11.230000,11.670000,11.220500,11.520000,11.520000,115903
2014-07-25,11.470000,12.160000,11.000000,11.100000,11.100000,82512
2014-07-28,11.130000,11.618000,10.647000,11.040000,11.040000,99830
2014-07-29,11.090000,11.150000,10.650000,10.870000,10.870000,45197
2014-07-30,10.910000,11.370000,10.910000,11.220000,11.220000,80268
2014-07-31,11.110000,11.388000,10.550000,10.810000,10.810000,84502
2014-08-01,10.840000,11.060000,9.870000,10.340000,10.340000,130488
2014-08-04,10.420000,10.788000,9.800000,10.060000,10.060000,97745
2014-08-05,9.950000,9.950000,9.200000,9.410000,9.410000,110988
2014-08-06,9.300000,9.470000,9.130000,9.220000,9.220000,79023
2014-08-07,9.280000,9.500000,9.010000,9.330000,9.330000,86878
2014-08-08,9.460000,10.470000,9.270000,10.300000,10.300000,93163
2014-08-11,10.380000,10.730000,10.080000,10.140000,10.140000,77607
2014-08-12,10.130000,10.710000,9.800000,9.870000,9.870000,84090
2014-08-13,9.950000,10.570000,9.540000,10.250000,10.250000,192947
2014-08-14,9.640000,10.870000,9.460000,10.460000,10.460000,70094
2014-08-15,10.600000,12.120000,10.310000,10.450000,10.450000,62673
2014-08-18,10.670000,11.014000,10.330000,10.390000,10.390000,24584
2014-08-19,10.360000,10.360000,9.210000,9.290000,9.290000,86294
2014-08-20,9.190000,9.460000,9.160000,9.250000,9.250000,39935
2014-08-21,9.250000,9.549500,8.877000,9.170000,9.170000,62604
