Date,Open,High,Low,Close,Adj Close,Volume
2013-03-22,0.128952,0.128952,0.128952,0.128952,0.128952,19542
2013-03-25,0.128952,0.128952,0.128952,0.128952,0.128952,3257
2013-03-26,0.128952,0.128952,0.128952,0.128952,0.128952,0
2013-03-27,0.128952,0.128952,0.128952,0.128952,0.128952,0
2013-03-28,0.128952,0.128952,0.128952,0.128952,0.128952,0
2013-04-01,0.128952,0.128952,0.128952,0.128952,0.128952,0
2013-04-02,0.128952,0.128952,0.128952,0.128952,0.128952,0
2013-04-03,0.128952,0.128952,0.128952,0.128952,0.128952,0
2013-04-04,0.128952,0.128952,0.128952,0.128952,0.128952,0
2013-04-05,0.128952,0.128952,0.128952,0.128952,0.128952,0
2013-04-08,0.128952,0.128952,0.128952,0.128952,0.128952,0
2013-04-09,0.128952,0.128952,0.128952,0.128952,0.128952,0
2013-04-10,0.128952,0.128952,0.128952,0.128952,0.128952,0
2013-04-11,0.128952,0.128952,0.128952,0.128952,0.128952,0
2013-04-12,0.128952,0.128952,0.128952,0.128952,0.128952,0
2013-04-15,0.128952,0.128952,0.128952,0.128952,0.128952,0
2013-04-16,0.128952,0.128952,0.128952,0.128952,0.128952,0
2013-04-17,0.128952,0.128952,0.128952,0.128952,0.128952,0
2013-04-18,0.128952,0.128952,0.128952,0.128952,0.128952,0
2013-04-19,0.128952,0.128952,0.128952,0.128952,0.128952,0
2013-04-22,0.128952,0.128952,0.128952,0.128952,0.128952,0
2013-04-23,0.128952,0.128952,0.128952,0.128952,0.128952,0
2013-04-24,0.128952,0.128952,0.128952,0.128952,0.128952,0
2013-04-25,0.128952,0.128952,0.128952,0.128952,0.128952,0
2013-04-26,0.128952,0.128952,0.128952,0.128952,0.128952,0
2013-04-29,0.128952,0.128952,0.128952,0.128952,0.128952,0
2013-04-30,0.128952,0.128952,0.128952,0.128952,0.128952,0
2013-05-01,0.128952,0.128952,0.128952,0.128952,0.128952,0
2013-05-02,0.128952,0.128952,0.128952,0.128952,0.128952,0
2013-05-03,0.128952,0.128952,0.128952,0.128952,0.128952,0
2013-05-06,0.128952,0.128952,0.128952,0.128952,0.128952,0
2013-05-07,0.128952,0.128952,0.128952,0.128952,0.128952,0
2013-05-08,0.128952,0.128952,0.128952,0.128952,0.128952,0
2013-05-09,0.128952,0.128952,0.128952,0.128952,0.128952,0
2013-05-10,0.128952,0.128952,0.128952,0.128952,0.128952,0
2013-05-13,0.128952,0.128952,0.128952,0.128952,0.128952,0
2013-05-14,0.128952,0.128952,0.128952,0.128952,0.128952,0
2013-05-15,0.128952,0.128952,0.128952,0.128952,0.128952,0
2013-05-16,0.128952,0.128952,0.128952,0.128952,0.128952,0
2013-05-17,0.128952,0.128952,0.128952,0.128952,0.128952,0
2013-05-20,0.128952,0.128952,0.128952,0.128952,0.128952,0
2013-05-21,0.128952,0.128952,0.128952,0.128952,0.128952,0
2013-05-22,0.128952,0.128952,0.128952,0.128952,0.128952,0
